word,count
murderer,80
afflicted,79
lurks,79
lunatics,78
woeful,78
angers,78
scorn,77
disguising,77
retard,76
undermined,76
monopolizing,76
betray,75
menace,75
loathed,75
insensitivity,74
betrayal,74
resigning,73
stressors,73
moping,73
disturbs,73
murdering,73
brooding,72
exposes,71
incapacitated,70
neglects,69
censor,69
enslaved,69
robber,69
disruptions,68
exploits,67
nigger,65
misbehaved,65
detained,65
spamming,65
stifled,65
detention,65
sentenced,64
punitive,64
expelled,64
mourned,64
inquisition,64
agonized,63
cunt,63
underestimating,63
disregards,63
motherfucker,62
n00b,62
fascist,62
possessive,62
avert,60
axed,60
intimidates,60
crestfallen,58
faggot,58
hooligan,58
eery,57
unequal,57
restricts,56
disabling,56
warfare,56
obstinate,56
derail,55
irreversible,53
protesters,53
selfishness,53
sulking,51
swindling,51
degrades,50
mongering,50
prosecuted,50
assassination,50
indignation,50
derision,50
expel,50
dipshit,50
infringement,49
imprisoned,49
inhibit,49
harshest,49
tard,49
vulnerability,49
murderous,48
disqualified,48
despondent,48
loathes,48
joyless,47
vexing,47
ennui,47
pollute,47
scapegoat,47
stabs,47
defenseless,47
poisons,47
terrorize,46
unconvinced,46
twat,46
disadvantaged,46
hysterics,46
misbehave,45
boastful,45
cynic,45
mocks,45
undermining,44
deferring,44
contemptuous,44
colliding,44
loomed,44
aggravates,44
collapses,43
terrorized,43
cynicism,43
distrustful,42
contending,42
dehumanizing,42
arrests,42
lobbying,42
widowed,42
disgraced,42
unapproved,41
rapist,41
unloved,41
agonize,40
slashing,40
embarrasses,39
frikin,39
burdens,38
banish,38
unsupported,37
admonish,37
charmless,37
perpetrator,37
thwart,36
pileup,36
impotent,36
inaction,36
undermines,36
disinclined,34
strangled,34
prosecute,34
fraudsters,34
unconfirmed,34
stressor,33
overreaction,33
abhors,33
motherfucking,33
shrew,32
sulky,32
alarmist,32
jailed,32
chagrined,31
flees,30
pensive,30
overreact,30
scandals,30
disguises,30
indoctrinated,29
detain,29
bailout,29
betraying,29
falsify,29
litigious,29
hopelessness,29
robed,29
overreacted,29
brainwashing,28
demoralized,28
oppressed,28
shithead,27
wanker,27
disbelieve,27
condemnation,27
distort,27
obliterate,27
abducted,27
discord,26
immobilized,26
infuriate,26
betrays,25
persecuted,25
apologising,25
slashes,25
snubbing,25
panics,24
treason,24
pitied,24
thorny,24
disparaged,24
grieved,24
envying,23
fascists,23
apeshit,23
prosecution,23
imposes,23
discredited,23
squelched,23
deceives,23
mope,22
whitewash,22
abduction,22
zealots,21
fearsome,21
misgiving,21
speculative,21
huckster,21
worsens,21
dithering,20
distorts,20
criticizes,20
expelling,20
outcry,20
provokes,20
enraging,20
fatality,20
abandons,20
punishes,20
contagion,20
indoctrinate,19
aggressions,19
parley,19
felonies,19
totalitarian,19
censors,19
discards,18
affronted,18
oversells,18
distorting,18
tortures,18
quaking,18
uselessness,18
silencing,17
denounce,17
cheerless,17
subversive,17
despairing,16
chastises,16
fatiguing,16
pessimism,16
envies,16
sorrowful,16
deride,16
diffident,16
vitriolic,15
libelous,15
spammers,15
vociferous,15
scornful,15
enrages,14
illiteracy,14
underestimates,14
dehumanized,14
sedition,14
collides,13
perpetrators,13
ineffectively,13
discontented,13
fucktard,13
faggots,13
fuking,13
